ID,Incident_ID,Crime,Location,Date_Time,Longitude,Latitude,Agency,Accuracy,Address,Date_Time_Unix,Temp,Pressure,Humidity,Wind_Speed,Condition,Description,Rain_3h,Snow_3h,Date_Time_ISO
1907,14-037461,Larceny,Residential,"Oct 07, 2014 6:45 AM",-73.6828,42.7433,Troy Police Department,Address,27XX 6TH AVE,1412676000,287.43534375,1016,71,3,Clouds,overcast clouds,0.0,0.0,2014-10-07 10:00:00 +0000 UTC
1908,14-037274,Larceny,Residential,"Oct 06, 2014 7:21 PM",-73.6845,42.7328,Troy Police Department,Address,7XX FEDERAL ST,1412636400,288.4,1016,53,3,Clear,sky is Clear,0.0,0.0,2014-10-06 23:00:00 +0000 UTC
1909,14-037236,Larceny,Gas Station/Convenience Store,"Oct 06, 2014 2:35 PM",-73.6921,42.7286,Troy Police Department,Address,XX 2ND ST,1412618400,287.66,1016,53,3,Clear,sky is Clear,0.0,0.0,2014-10-06 18:00:00 +0000 UTC
1910,14-037207,Burglary,Residential,"Oct 06, 2014 10:18 AM",-73.6771,42.7251,Troy Police Department,Address,15XX TIBBITS AVE,1412604000,282.931,1017,64,2,Clear,sky is Clear,0.0,0.0,2014-10-06 14:00:00 +0000 UTC
1911,14-037152,Burglary,Residential,"Oct 05, 2014 10:09 PM",-73.6952,42.7161,Troy Police Department,Address,4XX 2ND ST,1412560800,278.5536875,1013,74,1,Clear,sky is Clear,0.0,0.0,2014-10-06 02:00:00 +0000 UTC
1912,14-037129,Theft of Motor Vehicle,Street,"Oct 05, 2014 6:14 PM",-73.6913,42.7225,Troy Police Department,Address,2XX 4TH ST,1412546400,284.28365625,1010,57,1,Clear,sky is Clear,0.0,0.0,2014-10-05 22:00:00 +0000 UTC
1913,14-037069,Larceny,Residential,"Oct 05, 2014 9:06 AM",-73.6793,42.7149,Troy Police Department,Address,10XX MADISON AVE,1412514000,280.21134375,1008,65,1,Clear,sky is Clear,0.0,0.0,2014-10-05 13:00:00 +0000 UTC
1914,14-036895,Larceny,Residential,"Oct 03, 2014 8:33 PM",-73.6832,42.7418,Troy Police Department,Address,XX JAY ST,1412380800,289.351,1011,61,3,Clear,sky is Clear,0.0,0.0,2014-10-04 00:00:00 +0000 UTC
1915,14-036760,Larceny,Street,"Oct 02, 2014 9:26 PM",-73.6908,42.7247,Troy Police Department,Address,2XX 4TH ST,1412298000,287.805,1020,87,1,Clouds,few clouds,0.0,0.0,2014-10-03 01:00:00 +0000 UTC
1916,14-036709,Larceny,Bar/Restaurant/Liquor Store,"Oct 02, 2014 3:00 PM",-73.6876,42.7347,Troy Police Department,Address,X KING ST,1412276400,292.425,1019,67,1,Clear,sky is Clear,0.0,0.0,2014-10-02 19:00:00 +0000 UTC
1917,14-036691,Burglary,Residential,"Oct 02, 2014 1:02 PM",-73.6746,42.724,Troy Police Department,Address,17XX HIGHLAND AVE,1412269200,291.4716875,1020,70,1,Clouds,scattered clouds,0.0,0.0,2014-10-02 17:00:00 +0000 UTC
1918,14-036607,Larceny,Bar/Restaurant/Liquor Store,"Oct 01, 2014 6:10 PM",-73.6907,42.7278,Troy Police Department,Address,XX FERRY ST,1412200800,288.71234375,1018,89,1,Rain,light rain,,0.0,2014-10-01 22:00:00 +0000 UTC
1919,14-036585,Burglary,Residential,"Oct 01, 2014 4:31 PM",-73.6803,42.7346,Troy Police Department,Address,XX 11TH ST,1412193600,289.0236875,1018,88,1,Rain,light rain,,0.0,2014-10-01 20:00:00 +0000 UTC
1920,14-036555,Larceny,Business,"Oct 01, 2014 1:20 PM",-73.6871,42.7316,Troy Police Department,Address,18XX 5TH AVE,1412182800,288.24934375,1018,92,1,Rain,light rain,,0.0,2014-10-01 17:00:00 +0000 UTC
1921,15-010388,Burglary,Residential,"Mar 31, 2015 4:15 PM",-73.6917,42.7182,Troy Police Department,Address,3XX 4TH ST,1427832000,279.7516875,1009,54,2,Rain,light rain,,0.8,2015-03-31 20:00:00 +0000 UTC
1922,15-010359,Larceny,Business,"Mar 31, 2015 11:20 AM",-73.689,42.7321,Troy Police Department,Address,XX 4TH ST,1427814000,276.2465,1011,72,2,Rain,light rain,,0.8,2015-03-31 15:00:00 +0000 UTC
1923,15-010361,Larceny,Hospital,"Mar 31, 2015 11:20 AM",-73.6761,42.743,Troy Police Department,Address,13XX MASSACHUSETTS AVE,1427814000,276.2465,1011,72,2,Rain,light rain,,0.8,2015-03-31 15:00:00 +0000 UTC
1924,15-010303,Larceny,Residential,"Mar 30, 2015 11:50 PM",-73.6968,42.7122,Troy Police Department,Address,4XX 1ST ST,1427770800,275.0,1008,79,3,Rain,light rain,,0.792,2015-03-31 03:00:00 +0000 UTC
1925,15-010291,Robbery,Gas Station/Convenience Store,"Mar 30, 2015 8:30 PM",-73.6912,42.7196,Troy Police Department,Address,3XX 4TH ST,1427760000,277.4015,1007,70,4,Rain,light rain,,0.79,2015-03-31 00:00:00 +0000 UTC
1926,15-010277,Larceny,Residential,"Mar 30, 2015 6:15 PM",-73.6873,42.7125,Troy Police Department,Address,X STANTON ST,1427752800,278.54434375,1005,65,4,Rain,light rain,,0.79,2015-03-30 22:00:00 +0000 UTC
1927,15-010156,Larceny,Residential,"Mar 29, 2015 6:05 PM",-73.6896,42.727,Troy Police Department,Address,1XX 4TH ST,1427666400,275.50865625,1020,68,1,Clear,sky is Clear,0.0,0.062,2015-03-29 22:00:00 +0000 UTC
1928,15-010147,Larceny,Bar/Restaurant/Liquor Store,"Mar 29, 2015 4:15 PM",-73.6907,42.7278,Troy Police Department,Address,XX FERRY ST,1427659200,276.908,1021,60,1,Clear,sky is Clear,0.0,0.062,2015-03-29 20:00:00 +0000 UTC
1929,15-010137,Burglary,Residential,"Mar 29, 2015 2:20 PM",-73.68,42.7262,Troy Police Department,Address,XX FARM ST,1427652000,275.098,1022,67,1,Clear,sky is Clear,0.0,0.062,2015-03-29 18:00:00 +0000 UTC
1930,15-010068,Burglary,Residential,"Mar 28, 2015 7:20 PM",-73.6805,42.7238,Troy Police Department,Address,3XX CONGRESS ST,1427583600,270.392,1016,87,2,Snow,snow,0.0,3.097,2015-03-28 23:00:00 +0000 UTC
1931,15-010044,Theft of Motor Vehicle,Street,"Mar 28, 2015 1:00 PM",-73.6879,42.7346,Troy Police Department,Intersection,FEDERAL ST & KING ST,1427562000,271.061,1013,87,3,Snow,snow,0.0,2.407,2015-03-28 17:00:00 +0000 UTC
1932,15-009945,Robbery,Street,"Mar 27, 2015 4:30 PM",-73.6858,42.7358,Troy Police Department,Intersection,5TH ST & JACOB AVE,1427486400,278.4473125,1006,64,2,Rain,moderate rain,,3.054,2015-03-27 20:00:00 +0000 UTC
1933,15-009927,Larceny,Residential,"Mar 27, 2015 12:10 PM",-73.6822,42.7365,Troy Police Department,Address,2XX 8TH ST,1427472000,277.53134375,1008,71,2,Rain,moderate rain,,3.054,2015-03-27 16:00:00 +0000 UTC
1934,15-009905,Larceny,Police Dept./Justice Related,"Mar 27, 2015 9:00 AM",-73.6909,42.7285,Troy Police Department,Address,1XX 3RD ST,1427461200,274.63134375,1009,89,1,Rain,moderate rain,,3.054,2015-03-27 13:00:00 +0000 UTC
1935,15-009837,Larceny,Business,"Mar 26, 2015 6:42 PM",-73.6865,42.731,Troy Police Department,Address,18XX 6TH AVE,1427407200,284.169,1002,97,2,Rain,moderate rain,,0.0,2015-03-26 22:00:00 +0000 UTC
1936,15-009556,Larceny,Residential,"Mar 25, 2015 1:03 AM",-73.6942,42.7149,Troy Police Department,Address,4XX 3RD ST,1427259600,264.5983125,1029,92,1,Clear,sky is Clear,0.0,0.0,2015-03-25 05:00:00 +0000 UTC
1937,15-009452,Larceny,Business,"Mar 24, 2015 9:36 AM",-73.6876,42.73,Troy Police Department,Address,17XX 5TH AVE,1427202000,265.17465625,1029,81,1,Clouds,scattered clouds,0.0,0.0,2015-03-24 13:00:00 +0000 UTC
1938,15-009444,Larceny,Business,"Mar 24, 2015 7:54 AM",-73.6721,42.7383,Troy Police Department,Address,2XX HOOSICK ST,1427194800,262.76165625,1028,84,1,Clouds,few clouds,0.0,0.0,2015-03-24 11:00:00 +0000 UTC
1939,15-009437,Larceny,Gas Station/Convenience Store,"Mar 24, 2015 5:15 AM",-73.688,42.7285,Troy Police Department,Address,1XX CONGRESS ST,1427187600,263.5695,1028,83,1,Clouds,scattered clouds,0.0,0.0,2015-03-24 09:00:00 +0000 UTC
1940,15-009375,Larceny,School,"Mar 23, 2015 5:32 PM",-73.6892,42.7309,Troy Police Department,Address,XX 4TH ST,1427144400,269.6145,1025,71,3,Snow,light snow,0.0,0.12700000762939453,2015-03-23 21:00:00 +0000 UTC
1941,15-009249,Larceny,Residential,"Mar 23, 2015 8:40 AM",-73.6856,42.7343,Troy Police Department,Address,21XX 6TH AVE,1427112000,265.833,1023,73,3,Snow,light snow,0.0,0.128,2015-03-23 12:00:00 +0000 UTC
1942,15-009041,Larceny,Gas Station/Convenience Store,"Mar 22, 2015 11:08 PM",-73.6752,42.7393,Troy Police Department,Address,1XX HOOSICK ST,1427079600,266.146,1020,76,4,Snow,light snow,0.0,0.122,2015-03-23 03:00:00 +0000 UTC
1943,15-009039,Larceny,Business,"Mar 22, 2015 10:55 AM",-73.689,42.7321,Troy Police Department,Address,XX 4TH ST,1427032800,268.57934375,1018,78,4,Snow,light snow,0.0,0.235,2015-03-22 14:00:00 +0000 UTC
1944,15-009115,Larceny,Residential,"Mar 20, 2015 2:41 PM",-73.692,42.7217,Troy Police Department,Address,2XX 3RD ST,1426874400,272.491,1025,80,2,Snow,light snow,0.0,0.418,2015-03-20 18:00:00 +0000 UTC
1945,15-009109,Larceny,Residential,"Mar 20, 2015 2:40 PM",-73.6908,42.7275,Troy Police Department,Address,XX FERRY ST,1426874400,272.491,1025,80,2,Snow,light snow,0.0,0.418,2015-03-20 18:00:00 +0000 UTC
1946,15-008996,Larceny,Business,"Mar 19, 2015 6:51 PM",-73.6911,42.732,Troy Police Department,Address,2XX RIVER ST,1426802400,272.721,1026,69,3,Clear,sky is Clear,0.0,0.034,2015-03-19 22:00:00 +0000 UTC
1947,15-008909,Larceny,Business,"Mar 19, 2015 3:00 PM",-73.689,42.7321,Troy Police Department,Address,XX 4TH ST,1426791600,273.28765625,1026,68,3,Clear,sky is Clear,0.0,0.035,2015-03-19 19:00:00 +0000 UTC
1948,15-008965,Agg. Assault,Street,"Mar 19, 2015 2:09 PM",-73.6893,42.7299,Troy Police Department,Intersection,4TH ST & STATE ST,1426788000,271.9655,1026,68,3,Clear,sky is Clear,0.0,0.035,2015-03-19 18:00:00 +0000 UTC
1949,15-008937,Burglary,Residential,"Mar 19, 2015 8:54 AM",-73.6729,42.7436,Troy Police Department,Address,26XX 16TH ST,1426766400,268.1325,1025,74,3,Clear,sky is Clear,0.0,0.035,2015-03-19 12:00:00 +0000 UTC
1950,15-008845,Larceny,Hospital,"Mar 18, 2015 11:14 AM",-73.6725,42.7335,Troy Police Department,Address,22XX BURDETT AVE,1426690800,268.7175,1016,74,5,Clouds,broken clouds,0.0,0.046,2015-03-18 15:00:00 +0000 UTC
1951,15-008715,Larceny,Street,"Mar 17, 2015 10:00 AM",-73.6768,42.7392,Troy Police Department,Intersection,13TH ST & HOOSICK ST,1426600800,277.9333125,1001,94,1,Rain,light rain,,0.0,2015-03-17 14:00:00 +0000 UTC
1952,15-008468,Agg. Assault,Street,"Mar 15, 2015 5:40 AM",-73.6888,42.7324,Troy Police Department,Intersection,4TH ST & FULTON ST,1426410000,274.716,1005,91,3,Rain,light rain,,0.189,2015-03-15 09:00:00 +0000 UTC
1953,15-008390,Larceny,Gas Station/Convenience Store,"Mar 14, 2015 1:11 PM",-73.688,42.7285,Troy Police Department,Address,1XX CONGRESS ST,1426352400,277.031,1016,96,2,Rain,light rain,,0.005,2015-03-14 17:00:00 +0000 UTC
1954,15-008388,Larceny,Residential,"Mar 14, 2015 12:39 PM",-73.6955,42.7156,Troy Police Department,Address,1XX JACKSON ST,1426348800,276.417,1017,96,2,Rain,light rain,,0.005,2015-03-14 16:00:00 +0000 UTC
1955,15-008376,Larceny,Business,"Mar 14, 2015 10:25 AM",-73.689,42.7321,Troy Police Department,Address,XX 4TH ST,1426341600,274.923,1020,97,1,Rain,light rain,,0.005,2015-03-14 14:00:00 +0000 UTC
1956,15-008245,Theft of Motor Vehicle,Residential,"Mar 13, 2015 2:01 PM",-73.6938,42.7225,Troy Police Department,Address,2XX 2ND ST,1426269600,275.0705,1034,70,1,Clouds,broken clouds,0.0,0.0,2015-03-13 18:00:00 +0000 UTC
1957,15-008133,Larceny,School,"Mar 12, 2015 2:00 PM",-73.6975,42.7123,Troy Police Department,Address,4XX 1ST ST,1426183200,273.4535,1031,73,4,Clear,sky is Clear,0.0,0.0,2015-03-12 18:00:00 +0000 UTC
1958,15-008134,Larceny,Business,"Mar 12, 2015 1:15 PM",-73.689,42.7321,Troy Police Department,Address,XX 4TH ST,1426179600,273.8213125,1031,71,4,Clear,sky is Clear,0.0,0.0,2015-03-12 17:00:00 +0000 UTC
1959,15-008122,Larceny,Business,"Mar 12, 2015 10:50 AM",-73.6938,42.7225,Troy Police Department,Address,2XX 2ND ST,1426168800,272.463,1029,78,4,Clear,sky is Clear,0.0,0.0,2015-03-12 14:00:00 +0000 UTC
1960,15-008183,Larceny,Residential,"Mar 12, 2015 8:17 AM",-73.6903,42.7254,Troy Police Department,Address,2XX 4TH ST,1426161600,273.4265,1026,80,5,Clouds,few clouds,0.0,0.0,2015-03-12 12:00:00 +0000 UTC
1961,15-008039,Burglary,Residential,"Mar 11, 2015 9:55 PM",-73.6961,42.7181,Troy Police Department,Address,3XX 1ST ST,1426122000,276.801,1017,71,3,Clear,sky is Clear,0.0,0.0,2015-03-12 01:00:00 +0000 UTC
1962,15-007974,Theft of Motor Vehicle,Street,"Mar 11, 2015 5:32 AM",-73.6952,42.7173,Troy Police Department,Street,JACKSON ST & MONROE ST,1426064400,276.3585,1013,94,2,Rain,light rain,,0.0,2015-03-11 09:00:00 +0000 UTC
1963,15-007910,Burglary,Residential,"Mar 10, 2015 6:00 PM",-73.6725,42.7236,Troy Police Department,Address,18XX HIGHLAND AVE,1426024800,281.2386875,1019,60,3,Clear,sky is Clear,0.0,0.0,2015-03-10 22:00:00 +0000 UTC
1964,15-007832,Burglary,Gas Station/Convenience Store,"Mar 10, 2015 2:41 AM",-73.6801,42.7233,Troy Police Department,Address,3XX CONGRESS ST,1425967200,266.7475,1024,91,0,Clear,sky is Clear,0.0,0.0,2015-03-10 06:00:00 +0000 UTC
1965,15-007689,Larceny,Business,"Mar 09, 2015 9:00 AM",-73.6871,42.7297,Troy Police Department,Address,XX STATE ST,1425906000,270.693,1019,87,2,Clear,sky is Clear,0.0,0.0,2015-03-09 13:00:00 +0000 UTC
1966,15-007686,Theft of Motor Vehicle,Street,"Mar 08, 2015 10:35 PM",-73.6952,42.7144,Troy Police Department,Intersection,2ND ST & VAN BUREN ST,1425866400,269.87765625,1020,87,2,Clear,sky is Clear,0.0,0.0,2015-03-09 02:00:00 +0000 UTC
1967,15-007631,Agg. Assault,Street,"Mar 08, 2015 10:25 AM",-73.6864,42.7359,Troy Police Department,Intersection,JACOB ST & KING ST,1425823200,271.30865625,1016,96,1,Clear,sky is Clear,0.0,1.25,2015-03-08 14:00:00 +0000 UTC
1968,15-007628,Larceny,Residential,"Mar 08, 2015 9:35 AM",-73.6917,42.7213,Troy Police Department,Address,XX JEFFERSON ST,1425819600,269.90634375,1016,96,0,Clear,sky is Clear,0.0,1.25,2015-03-08 13:00:00 +0000 UTC
1969,15-007598,Burglary,Residential,"Mar 07, 2015 10:17 PM",-73.6926,42.7223,Troy Police Department,Address,2XX 3RD ST,1425783600,270.2685,1017,91,1,Clear,sky is Clear,0.0,0.0,2015-03-08 03:00:00 +0000 UTC
1970,15-007491,Robbery,Gas Station/Convenience Store,"Mar 06, 2015 9:15 PM",-73.6921,42.7286,Troy Police Department,Address,XX 2ND ST,1425693600,262.33865625,1027,83,1,Clear,sky is Clear,0.0,0.0,2015-03-07 02:00:00 +0000 UTC
1971,15-007483,Burglary,Residential,"Mar 06, 2015 7:45 PM",-73.6913,42.7225,Troy Police Department,Address,2XX 4TH ST,1425686400,265.3815,1027,78,1,Clear,sky is Clear,0.0,0.0,2015-03-07 00:00:00 +0000 UTC
1972,15-007467,Larceny,Residential,"Mar 06, 2015 4:50 PM",-73.6908,42.7275,Troy Police Department,Address,XX FERRY ST,1425675600,265.337,1029,80,1,Clear,sky is Clear,0.0,0.0,2015-03-06 21:00:00 +0000 UTC
1973,15-007339,Larceny,Business,"Mar 05, 2015 4:33 PM",-73.689,42.7321,Troy Police Department,Address,XX 4TH ST,1425589200,265.539,1023,79,2,Clear,sky is Clear,0.0,1.5,2015-03-05 21:00:00 +0000 UTC
1974,15-007354,Larceny,Business,"Mar 05, 2015 4:25 PM",-73.6867,42.7274,Troy Police Department,Address,17XX 7TH ST,1425589200,265.539,1023,79,2,Clear,sky is Clear,0.0,1.5,2015-03-05 21:00:00 +0000 UTC
1975,15-007207,Larceny,Street,"Mar 04, 2015 10:40 AM",-73.684,42.737,Troy Police Department,Address,22XX OLD 6TH AVE,1425481200,277.488,1008,81,2,Rain,light rain,,0.125,2015-03-04 15:00:00 +0000 UTC
1976,15-007145,Burglary,Residential,"Mar 03, 2015 5:30 PM",-73.678,42.7422,Troy Police Department,Address,X OAKWOOD AVE,1425420000,269.655,1018,89,4,Clear,sky is Clear,0.0,3.1,2015-03-03 22:00:00 +0000 UTC
1977,15-007031,Larceny,Residential,"Mar 02, 2015 9:02 PM",-73.6908,42.7275,Troy Police Department,Address,XX FERRY ST,1425348000,267.4366875,1026,84,4,Clear,sky is Clear,0.0,0.0,2015-03-03 02:00:00 +0000 UTC
1978,15-006986,Theft of Motor Vehicle,Street,"Mar 02, 2015 12:57 PM",-73.6802,42.7238,Troy Police Department,Address,X 14TH ST,1425315600,270.487,1019,84,4,Snow,light snow,0.0,0.875,2015-03-02 17:00:00 +0000 UTC
1979,15-006814,Larceny,Grocery/Supermarket,"Feb 28, 2015 3:51 PM",-73.6775,42.7383,Troy Police Department,Address,1XX HOOSICK ST,1425153600,268.22,1040,80,1,Clear,sky is Clear,0.0,0.0,2015-02-28 20:00:00 +0000 UTC
1980,15-006813,Burglary,Residential,"Feb 28, 2015 3:45 PM",-73.6748,42.7383,Troy Police Department,Address,23XX 15TH ST,1425153600,268.22,1040,80,1,Clear,sky is Clear,0.0,0.0,2015-02-28 20:00:00 +0000 UTC
1981,15-006811,Burglary,Residential,"Feb 28, 2015 3:28 PM",-73.6797,42.7239,Troy Police Department,Address,X 14TH ST,1425153600,268.22,1040,80,1,Clear,sky is Clear,0.0,0.0,2015-02-28 20:00:00 +0000 UTC
1982,15-006709,Robbery,Residential,"Feb 27, 2015 7:30 PM",-73.6811,42.7369,Troy Police Department,Address,1XX 9TH ST,1425081600,263.555,1033,81,2,Clear,sky is Clear,0.0,0.0,2015-02-28 00:00:00 +0000 UTC
1983,15-006680,Larceny,Residential,"Feb 27, 2015 1:25 PM",-73.6815,42.7256,Troy Police Department,Address,2XX CONGRESS ST,1425060000,265.0335,1029,79,2,Clear,sky is Clear,0.0,0.1,2015-02-27 18:00:00 +0000 UTC
1984,15-006666,Robbery,Gas Station/Convenience Store,"Feb 27, 2015 10:43 AM",-73.6898,42.7287,Troy Police Department,Address,XX CONGRESS ST,1425049200,261.909484375,1028,85,1,Clear,sky is Clear,0.0,0.1,2015-02-27 15:00:00 +0000 UTC
1985,15-006441,Larceny,Business,"Feb 25, 2015 4:50 PM",-73.689,42.7321,Troy Police Department,Address,XX 4TH ST,1424898000,267.763,1011,81,3,Clear,sky is Clear,0.0,0.0,2015-02-25 21:00:00 +0000 UTC
1986,15-006431,Burglary,Residential,"Feb 25, 2015 3:39 PM",-73.6817,42.7188,Troy Police Department,Address,XX SPRING AVE,1424894400,269.6753125,1010,79,3,Clear,sky is Clear,0.0,0.0,2015-02-25 20:00:00 +0000 UTC
1987,15-006376,Theft of Motor Vehicle,Street,"Feb 25, 2015 7:17 AM",-73.6684,42.7248,Troy Police Department,Address,1XX ORCHARD AVE,1424865600,264.942,1008,85,1,Clear,sky is Clear,0.0,0.0,2015-02-25 12:00:00 +0000 UTC
1988,15-006334,Larceny,Business,"Feb 24, 2015 7:25 PM",-73.6775,42.7383,Troy Police Department,Address,1XX HOOSICK ST,1424822400,264.3065,1013,80,3,Clear,sky is Clear,0.0,0.0,2015-02-25 00:00:00 +0000 UTC
1989,15-006230,Theft of Motor Vehicle,Street,"Feb 23, 2015 7:40 PM",-73.6921,42.7286,Troy Police Department,Address,XX 2ND ST,1424736000,258.047,1027,76,3,Clear,sky is Clear,0.0,0.0,2015-02-24 00:00:00 +0000 UTC
1990,15-006219,Larceny,Bar/Restaurant/Liquor Store,"Feb 23, 2015 6:08 PM",-73.6887,42.7342,Troy Police Department,Address,3XX RIVER ST,1424732400,258.18365625,1027,74,4,Clear,sky is Clear,0.0,0.0,2015-02-23 23:00:00 +0000 UTC
